,precision,recall,f1-score,support
fake,0.5455,0.6408,0.5893,103.0000
real,0.9029,0.8622,0.8821,399.0000
accuracy,0.8167,0.8167,0.8167,0.8167
macro avg,0.7242,0.7515,0.7357,502.0000
weighted avg,0.8295,0.8167,0.8220,502.0000
f1_binary_fake,,,0.5890,
