,precision,recall,f1-score,support
fake,0.8295,0.8231,0.8263,130.0000
real,0.9378,0.9404,0.9391,369.0000
accuracy,0.9098,0.9098,0.9098,0.9098
macro avg,0.8836,0.8817,0.8827,499.0000
weighted avg,0.9096,0.9098,0.9097,499.0000
f1_binary_fake,,,0.8260,
