,precision,recall,f1-score,support
fake,0.8659,0.5462,0.6698,130.0000
real,0.8585,0.9702,0.9109,369.0000
accuracy,0.8597,0.8597,0.8597,0.8597
macro avg,0.8622,0.7582,0.7904,499.0000
weighted avg,0.8604,0.8597,0.8481,499.0000
f1_binary_fake,,,0.6700,
