,precision,recall,f1-score,support
fake,0.8239,0.9000,0.8603,130.0000
real,0.9636,0.9322,0.9477,369.0000
accuracy,0.9238,0.9238,0.9238,0.9238
macro avg,0.8938,0.9161,0.9040,499.0000
weighted avg,0.9272,0.9238,0.9249,499.0000
f1_binary_fake,,,0.8600,
