,precision,recall,f1-score,support
fake,0.9442,0.6788,0.7898,274.0000
real,0.7086,0.9511,0.8121,225.0000
accuracy,0.8016,0.8016,0.8016,0.8016
macro avg,0.8264,0.8150,0.8010,499.0000
weighted avg,0.8380,0.8016,0.7999,499.0000
f1_binary_fake,,,0.7900,
