,precision,recall,f1-score,support
fake,0.8868,0.3431,0.4947,274.0000
real,0.5420,0.9467,0.6893,225.0000
accuracy,0.6152,0.6152,0.6152,0.6152
macro avg,0.7144,0.6449,0.5920,499.0000
weighted avg,0.7313,0.6152,0.5825,499.0000
f1_binary_fake,,,0.4950,
