,precision,recall,f1-score,support
fake,0.7636,0.7119,0.7368,118.0000
real,0.8635,0.8921,0.8776,241.0000
accuracy,0.8329,0.8329,0.8329,0.8329
macro avg,0.8135,0.8020,0.8072,359.0000
weighted avg,0.8306,0.8329,0.8313,359.0000
f1_binary_fake,,,0.7370,
