,precision,recall,f1-score,support
fake,0.5548,0.7864,0.6506,103.0000
real,0.9382,0.8371,0.8848,399.0000
accuracy,0.8267,0.8267,0.8267,0.8267
macro avg,0.7465,0.8118,0.7677,502.0000
weighted avg,0.8595,0.8267,0.8367,502.0000
f1_binary_fake,,,0.6510,
