,precision,recall,f1-score,support
fake,0.7021,0.2797,0.4000,118.0000
real,0.7276,0.9419,0.8210,241.0000
accuracy,0.7242,0.7242,0.7242,0.7242
macro avg,0.7148,0.6108,0.6105,359.0000
weighted avg,0.7192,0.7242,0.6826,359.0000
f1_binary_fake,,,0.4000,
