,precision,recall,f1-score,support
fake,0.5000,0.7767,0.6084,103.0000
real,0.9327,0.7995,0.8610,399.0000
accuracy,0.7948,0.7948,0.7948,0.7948
macro avg,0.7164,0.7881,0.7347,502.0000
weighted avg,0.8440,0.7948,0.8092,502.0000
f1_binary_fake,,,0.6080,
