,precision,recall,f1-score,support
fake,0.7963,0.7914,0.7938,163.0000
real,0.8565,0.8602,0.8584,236.0000
accuracy,0.8321,0.8321,0.8321,0.8321
macro avg,0.8264,0.8258,0.8261,399.0000
weighted avg,0.8319,0.8321,0.8320,399.0000
f1_binary_fake,,,0.7940,
