,precision,recall,f1-score,support
fake,0.8409,0.6810,0.7525,163.0000
real,0.8060,0.9114,0.8554,237.0000
accuracy,0.8175,0.8175,0.8175,0.8175
macro avg,0.8234,0.7962,0.8040,400.0000
weighted avg,0.8202,0.8175,0.8135,400.0000
f1_binary_fake,,,0.7530,
