,precision,recall,f1-score,support
fake,0.9478,0.3978,0.5604,274.0000
real,0.5703,0.9733,0.7192,225.0000
accuracy,0.6573,0.6573,0.6573,0.6573
macro avg,0.7591,0.6856,0.6398,499.0000
weighted avg,0.7776,0.6573,0.6320,499.0000
f1_binary_fake,,,0.5600,
