,precision,recall,f1-score,support
fake,0.7260,0.4492,0.5550,118.0000
real,0.7727,0.9170,0.8387,241.0000
accuracy,0.7632,0.7632,0.7632,0.7632
macro avg,0.7494,0.6831,0.6968,359.0000
weighted avg,0.7574,0.7632,0.7454,359.0000
f1_binary_fake,,,0.5550,
