,precision,recall,f1-score,support
fake,0.9419,0.2956,0.4500,274.0000
real,0.5327,0.9778,0.6897,225.0000
accuracy,0.6032,0.6032,0.6032,0.6032
macro avg,0.7373,0.6367,0.5698,499.0000
weighted avg,0.7574,0.6032,0.5581,499.0000
f1_binary_fake,,,0.4500,
