,precision,recall,f1-score,support
fake,0.8119,0.6949,0.7489,118.0000
real,0.8605,0.9212,0.8898,241.0000
accuracy,0.8468,0.8468,0.8468,0.8468
macro avg,0.8362,0.8080,0.8193,359.0000
weighted avg,0.8445,0.8468,0.8435,359.0000
f1_binary_fake,,,0.7490,
