,precision,recall,f1-score,support
fake,0.5735,0.7573,0.6527,103.0000
real,0.9317,0.8546,0.8915,399.0000
accuracy,0.8347,0.8347,0.8347,0.8347
macro avg,0.7526,0.8060,0.7721,502.0000
weighted avg,0.8582,0.8347,0.8425,502.0000
f1_binary_fake,,,0.6530,
