,precision,recall,f1-score,support
fake,0.8647,0.8846,0.8745,130.0000
real,0.9590,0.9512,0.9551,369.0000
accuracy,0.9339,0.9339,0.9339,0.9339
macro avg,0.9118,0.9179,0.9148,499.0000
weighted avg,0.9344,0.9339,0.9341,499.0000
f1_binary_fake,,,0.8750,
