,precision,recall,f1-score,support
fake,0.7949,0.7881,0.7915,118.0000
real,0.8967,0.9004,0.8986,241.0000
accuracy,0.8635,0.8635,0.8635,0.8635
macro avg,0.8458,0.8443,0.8450,359.0000
weighted avg,0.8632,0.8635,0.8634,359.0000
f1_binary_fake,,,0.7910,
