,precision,recall,f1-score,support
fake,0.6944,0.2119,0.3247,118.0000
real,0.7121,0.9544,0.8156,241.0000
accuracy,0.7103,0.7103,0.7103,0.7103
macro avg,0.7033,0.5831,0.5701,359.0000
weighted avg,0.7063,0.7103,0.6542,359.0000
f1_binary_fake,,,0.3250,
