,precision,recall,f1-score,support
fake,0.8153,0.7853,0.8000,163.0000
real,0.8560,0.8776,0.8667,237.0000
accuracy,0.8400,0.8400,0.8400,0.8400
macro avg,0.8356,0.8315,0.8333,400.0000
weighted avg,0.8394,0.8400,0.8395,400.0000
f1_binary_fake,,,0.8000,
