,precision,recall,f1-score,support
fake,0.6015,0.7767,0.6780,103.0000
real,0.9377,0.8672,0.9010,399.0000
accuracy,0.8486,0.8486,0.8486,0.8486
macro avg,0.7696,0.8219,0.7895,502.0000
weighted avg,0.8687,0.8486,0.8553,502.0000
f1_binary_fake,,,0.6780,
