,precision,recall,f1-score,support
fake,0.8400,0.6462,0.7304,130.0000
real,0.8847,0.9566,0.9193,369.0000
accuracy,0.8758,0.8758,0.8758,0.8758
macro avg,0.8624,0.8014,0.8249,499.0000
weighted avg,0.8731,0.8758,0.8701,499.0000
f1_binary_fake,,,0.7300,
