,precision,recall,f1-score,support
fake,0.7853,0.8528,0.8176,163.0000
real,0.8924,0.8397,0.8652,237.0000
accuracy,0.8450,0.8450,0.8450,0.8450
macro avg,0.8388,0.8462,0.8414,400.0000
weighted avg,0.8487,0.8450,0.8458,400.0000
f1_binary_fake,,,0.8180,
