,precision,recall,f1-score,support
fake,0.5825,0.5825,0.5825,103.0000
real,0.8922,0.8922,0.8922,399.0000
accuracy,0.8287,0.8287,0.8287,0.8287
macro avg,0.7374,0.7374,0.7374,502.0000
weighted avg,0.8287,0.8287,0.8287,502.0000
f1_binary_fake,,,0.5830,
