,precision,recall,f1-score,support
fake,0.9574,0.6569,0.7792,274.0000
real,0.6977,0.9644,0.8097,225.0000
accuracy,0.7956,0.7956,0.7956,0.7956
macro avg,0.8276,0.8107,0.7945,499.0000
weighted avg,0.8403,0.7956,0.7930,499.0000
f1_binary_fake,,,0.7790,
