,precision,recall,f1-score,support
fake,0.7565,0.6692,0.7102,130.0000
real,0.8880,0.9241,0.9057,369.0000
accuracy,0.8577,0.8577,0.8577,0.8577
macro avg,0.8223,0.7967,0.8080,499.0000
weighted avg,0.8538,0.8577,0.8548,499.0000
f1_binary_fake,,,0.7100,
