,precision,recall,f1-score,support
fake,0.9684,0.6715,0.7931,274.0000
real,0.7087,0.9733,0.8202,225.0000
accuracy,0.8076,0.8076,0.8076,0.8076
macro avg,0.8386,0.8224,0.8067,499.0000
weighted avg,0.8513,0.8076,0.8053,499.0000
f1_binary_fake,,,0.7930,
